CW;CHH
71.136;91.397
71.328;91.492
71.34;91.497
71.365;91.51
71.41;91.532
71.428;91.541
71.463;91.558
71.482;91.567
71.496;91.574
71.517;91.584
71.601;91.625
71.622;91.636
71.63;91.64
71.642;91.646
71.663;91.656
71.684;91.666
71.705;91.676
71.714;91.68
71.992;91.816
71.997;91.818
72.041;91.839
72.073;91.855
72.077;91.857
72.104;91.87
72.108;91.872
72.17;91.902
72.172;91.903
72.177;91.905
72.182;91.908
72.294;91.962
72.297;91.963
72.307;91.968
72.312;91.971
72.333;91.981
72.346;91.987
72.376;92.002
72.386;92.007
72.39;92.009
72.398;92.012
72.409;92.018
72.595;92.107
72.598;92.109
72.619;92.119
72.67;92.143
72.718;92.166
72.726;92.17
72.761;92.187
72.77;92.191
72.775;92.193
72.8;92.206
72.807;92.209
72.818;92.214
72.901;92.254
72.903;92.255
72.905;92.256
72.908;92.257
72.932;92.269
72.957;92.281
72.962;92.283
72.967;92.285
72.969;92.286
72.971;92.287
73.139;92.367
73.146;92.371
73.149;92.372
73.151;92.373
73.168;92.381
73.175;92.384
73.185;92.389
73.192;92.393
73.21;92.401
73.214;92.403
73.225;92.408
73.246;92.418
73.331;92.458
73.335;92.46
73.339;92.462
73.355;92.469
73.36;92.472
73.386;92.484
73.39;92.486
73.416;92.499
73.437;92.508
73.452;92.515
73.46;92.519
73.676;92.621
73.681;92.623
73.692;92.629
73.704;92.634
73.727;92.645
73.757;92.659
73.759;92.66
73.91;92.73
73.931;92.741
73.944;92.746
73.993;92.769
74.015;92.78
74.022;92.783
74.047;92.795
74.255;92.891
74.261;92.894
74.268;92.898
74.273;92.9
74.277;92.902
74.305;92.915
74.332;92.927
74.363;92.942
74.382;92.951
74.388;92.954
74.392;92.955
74.41;92.964
74.444;92.979
74.45;92.982
74.462;92.988
74.52;93.015
74.527;93.018
74.538;93.023
74.55;93.029
74.558;93.032
74.595;93.049
74.62;93.061
74.624;93.063
74.636;93.068
74.794;93.141
74.805;93.146
74.823;93.155
74.83;93.158
74.861;93.172
74.867;93.175
74.89;93.185
74.898;93.189
74.919;93.199
74.927;93.202
74.996;93.234
75.054;93.261
75.06;93.263
75.084;93.274
75.093;93.279
75.108;93.286
75.12;93.291
75.25;93.35
75.254;93.352
75.265;93.357
75.268;93.359
75.283;93.365
75.289;93.368
75.322;93.383
75.327;93.385
75.332;93.388
75.43;93.432
75.435;93.434
75.443;93.438
75.45;93.441
75.458;93.445
75.459;93.445
75.594;93.506
75.596;93.507
75.609;93.513
75.638;93.526
75.644;93.529
75.677;93.544
75.682;93.546
75.684;93.547
75.731;93.568
75.736;93.571
75.761;93.582
75.837;93.616
75.845;93.619
75.848;93.621
75.864;93.628
75.886;93.638
75.901;93.645
75.992;93.685
76;93.689
76.015;93.695
76.037;93.705
76.054;93.713
76.058;93.715
76.1;93.733
76.105;93.736
76.225;93.789
76.228;93.79
76.232;93.792
76.26;93.805
76.273;93.81
76.297;93.821
76.302;93.823
76.304;93.824
76.447;93.888
76.46;93.893
76.468;93.897
76.473;93.899
76.489;93.906
76.491;93.907
76.497;93.91
76.509;93.915
76.538;93.928
76.54;93.929
76.545;93.931
76.61;93.96
76.621;93.964
76.624;93.966
76.642;93.973
76.644;93.974
76.666;93.984
76.674;93.988
76.825;94.054
76.837;94.059
76.84;94.061
76.889;94.082
76.893;94.084
76.914;94.093
76.923;94.097
76.931;94.1
77.036;94.146
77.04;94.148
77.052;94.153
77.056;94.155
77.073;94.162
77.08;94.166
77.081;94.166
77.104;94.176
77.348;94.282
77.352;94.284
77.363;94.289
77.383;94.297
77.396;94.303
77.401;94.305
77.424;94.315
77.513;94.354
77.521;94.357
77.536;94.363
77.557;94.372
77.574;94.38
77.575;94.38
77.698;94.433
77.716;94.441
77.724;94.444
77.755;94.458
77.772;94.465
77.809;94.481
77.814;94.483
77.829;94.489
77.831;94.49
77.958;94.544
77.96;94.545
77.966;94.548
77.968;94.548
77.982;94.554
77.989;94.557
78.059;94.587
78.071;94.592
78.087;94.599
78.113;94.61
78.199;94.646
78.204;94.648
78.245;94.666
78.256;94.67
78.274;94.678
78.277;94.679
78.312;94.694
78.321;94.698
78.335;94.704
78.355;94.712
78.461;94.756
78.468;94.759
78.493;94.769
78.516;94.779
78.527;94.784
78.533;94.786
78.553;94.795
78.563;94.799
78.588;94.809
78.604;94.816
78.606;94.817
78.673;94.845
78.695;94.854
78.714;94.862
78.741;94.873
78.747;94.875
78.752;94.877
78.814;94.903
78.83;94.91
78.834;94.912
78.852;94.919
78.874;94.928
78.941;94.956
78.945;94.957
78.948;94.958
78.963;94.965
78.968;94.967
79.053;95.002
79.056;95.003
79.076;95.011
79.087;95.016
79.145;95.039
79.166;95.048
79.169;95.049
79.265;95.088
79.274;95.092
79.277;95.093
79.299;95.102
79.306;95.105
79.329;95.114
79.333;95.116
79.345;95.121
79.387;95.138
79.398;95.142
79.418;95.15
79.432;95.156
79.444;95.161
79.479;95.175
79.482;95.176
79.501;95.184
79.521;95.192
79.529;95.195
79.582;95.216
79.588;95.219
79.598;95.223
79.619;95.231
79.631;95.236
79.653;95.245
79.788;95.299
79.803;95.305
79.816;95.31
79.823;95.313
79.862;95.328
79.924;95.353
79.931;95.356
79.969;95.371
79.98;95.375
79.99;95.379
80.005;95.385
80.103;95.424
80.11;95.427
80.135;95.437
80.161;95.447
80.165;95.449
80.171;95.451
80.279;95.493
80.321;95.51
80.323;95.511
80.331;95.514
80.407;95.544
80.415;95.547
80.42;95.549
80.436;95.555
80.454;95.562
80.476;95.571
80.486;95.575
80.494;95.578
80.501;95.581
80.508;95.583
80.525;95.59
80.594;95.617
80.601;95.619
80.602;95.62
80.633;95.632
80.649;95.638
80.719;95.665
80.724;95.667
80.737;95.672
80.741;95.674
80.745;95.675
80.792;95.694
80.798;95.696
80.844;95.714
80.851;95.716
80.856;95.718
80.869;95.723
80.871;95.724
80.889;95.731
80.905;95.737
80.967;95.761
80.968;95.761
80.983;95.767
81.003;95.775
81.007;95.776
81.031;95.785
81.084;95.805
81.092;95.808
81.129;95.823
81.134;95.824
81.153;95.832
81.19;95.846
81.194;95.847
81.21;95.853
81.231;95.861
81.239;95.864
81.257;95.871
81.263;95.873
81.308;95.89
81.346;95.905
81.355;95.908
81.357;95.909
81.364;95.911
81.374;95.915
81.391;95.922
81.437;95.939
81.44;95.94
81.445;95.941
81.461;95.948
81.48;95.955
81.486;95.957
81.536;95.975
81.538;95.976
81.584;95.993
81.589;95.995
81.592;95.996
81.596;95.998
81.636;96.012
81.641;96.014
81.733;96.048
81.736;96.049
81.746;96.053
81.752;96.055
81.811;96.076
81.834;96.085
81.862;96.095
81.874;96.099
81.888;96.105
81.91;96.113
81.92;96.116
81.944;96.125
81.952;96.128
81.955;96.129
82.035;96.157
82.039;96.159
82.044;96.161
82.06;96.166
82.068;96.169
82.086;96.176
82.091;96.178
82.107;96.183
82.131;96.192
82.148;96.198
82.161;96.203
82.169;96.205
82.191;96.213
82.225;96.225
82.263;96.239
82.268;96.241
82.339;96.266
82.35;96.27
82.363;96.274
82.368;96.276
82.375;96.278
82.406;96.289
82.438;96.301
82.448;96.304
82.478;96.314
82.566;96.345
82.575;96.348
82.608;96.36
82.611;96.361
82.633;96.368
82.673;96.383
82.68;96.385
82.717;96.398
82.74;96.405
82.742;96.406
82.771;96.416
82.778;96.419
82.798;96.426
82.806;96.428
82.809;96.429
82.82;96.433
82.855;96.445
82.883;96.454
82.89;96.457
82.896;96.459
82.934;96.472
82.945;96.475
82.961;96.481
82.975;96.486
83.002;96.495
83.024;96.502
83.039;96.507
83.06;96.514
83.109;96.531
83.117;96.533
83.121;96.535
83.163;96.549
83.171;96.552
83.187;96.557
83.2;96.561
83.212;96.565
83.234;96.573
83.273;96.586
83.283;96.589
83.3;96.595
83.316;96.6
83.344;96.61
83.363;96.616
83.376;96.62
83.413;96.632
83.419;96.634
83.428;96.637
83.464;96.649
83.466;96.65
83.476;96.653
83.545;96.676
83.566;96.683
83.57;96.684
83.584;96.689
83.626;96.703
83.646;96.709
83.661;96.714
83.669;96.717
83.673;96.718
83.69;96.724
83.71;96.73
83.725;96.735
83.739;96.74
83.747;96.742
83.754;96.744
83.778;96.752
83.797;96.758
83.8;96.759
83.803;96.76
83.808;96.762
83.814;96.764
83.828;96.768
83.835;96.77
83.85;96.775
83.861;96.779
83.863;96.779
83.869;96.781
83.875;96.783
83.883;96.786
83.917;96.797
83.927;96.8
83.943;96.805
83.958;96.809
83.99;96.819
84.003;96.823
84.017;96.828
84.032;96.833
84.038;96.834
84.04;96.835
84.06;96.841
84.064;96.843
84.097;96.853
84.115;96.858
84.118;96.859
84.13;96.863
84.139;96.866
84.165;96.874
84.176;96.877
84.185;96.88
84.219;96.89
84.237;96.896
84.241;96.897
84.259;96.903
84.303;96.916
84.315;96.92
84.335;96.926
84.356;96.932
84.398;96.945
84.694;97.034
84.703;97.036
84.706;97.037
84.717;97.04
84.736;97.046
84.74;97.047
84.799;97.065
84.811;97.069
84.84;97.077
84.843;97.078
84.882;97.09
84.97;97.116
84.978;97.118
84.981;97.119
84.985;97.12
84.993;97.123
85.053;97.14
85.106;97.156
85.116;97.159
85.122;97.161
85.128;97.163
85.145;97.168
85.271;97.205
85.306;97.215
85.315;97.218
85.34;97.225
85.409;97.246
85.431;97.252
85.458;97.26
85.513;97.276
85.521;97.279
85.606;97.304
85.612;97.306
85.62;97.308
85.692;97.329
85.702;97.332
85.711;97.334
85.714;97.335
85.729;97.34
85.853;97.376
85.856;97.376
85.891;97.387
85.917;97.394
85.942;97.402
86.058;97.435
86.079;97.441
86.098;97.447
86.117;97.452
86.143;97.46
86.185;97.472
86.195;97.475
86.215;97.481
86.353;97.52
86.381;97.528
86.415;97.538
86.46;97.551
86.497;97.562
86.502;97.563
86.525;97.57
86.555;97.578
86.604;97.592
86.608;97.594
86.634;97.601
86.644;97.604
86.648;97.605
86.718;97.625
86.726;97.627
86.755;97.635
86.758;97.636
86.762;97.637
86.765;97.638
86.774;97.641
86.859;97.665
86.864;97.666
86.892;97.674
86.975;97.698
86.984;97.7
86.997;97.704
87.02;97.711
87.031;97.713
87.059;97.721
87.062;97.722
87.075;97.726
87.079;97.727
87.198;97.76
87.215;97.765
87.22;97.767
87.236;97.771
87.275;97.782
87.281;97.784
87.3;97.789
87.313;97.793
87.321;97.795
87.334;97.798
87.343;97.801
87.353;97.804
87.368;97.808
87.378;97.811
87.391;97.814
87.4;97.817
87.424;97.824
87.457;97.833
87.517;97.849
87.546;97.857
87.567;97.863
87.586;97.869
87.611;97.876
87.631;97.881
87.636;97.882
87.673;97.893
87.683;97.895
87.74;97.911
87.743;97.912
87.774;97.921
87.842;97.939
87.865;97.946
87.901;97.955
87.905;97.956
87.909;97.958
87.943;97.967
87.973;97.975
87.993;97.981
88.076;98.003
88.089;98.007
88.124;98.016
88.134;98.019
88.149;98.023
88.204;98.038
88.228;98.044
88.253;98.051
88.33;98.072
88.337;98.074
88.378;98.085
88.384;98.087
88.395;98.09
88.43;98.099
88.433;98.1
88.442;98.103
88.477;98.112
88.502;98.119
88.525;98.125
88.533;98.127
88.554;98.132
88.567;98.136
88.631;98.153
88.668;98.163
88.68;98.166
88.7;98.172
88.718;98.177
88.725;98.178
88.786;98.195
88.819;98.203
88.893;98.223
88.947;98.237
88.964;98.242
88.979;98.246
88.984;98.247
89.063;98.268
89.082;98.273
89.091;98.275
89.105;98.279
89.119;98.283
89.146;98.29
89.149;98.291
89.172;98.297
89.249;98.317
89.306;98.332
89.339;98.341
89.378;98.351
89.384;98.352
89.391;98.354
89.417;98.361
89.475;98.376
89.482;98.378
89.49;98.38
89.542;98.393
89.547;98.395
89.568;98.4
89.613;98.412
89.628;98.416
89.74;98.444
89.758;98.449
89.764;98.45
89.766;98.451
89.781;98.455
89.822;98.465
89.83;98.467
89.836;98.469
89.862;98.475
89.871;98.478
89.897;98.484
89.899;98.485
89.909;98.487
89.941;98.496
89.954;98.499
89.957;98.5
89.974;98.504
90.048;98.523
90.06;98.526
90.072;98.529
90.075;98.53
90.133;98.544
90.157;98.55
90.206;98.562
90.245;98.572
90.247;98.573
90.253;98.574
90.297;98.585
90.304;98.587
90.309;98.588
90.332;98.594
90.343;98.597
90.368;98.603
90.384;98.607
90.391;98.608
90.423;98.616
90.462;98.626
90.466;98.627
90.485;98.632
90.493;98.634
90.501;98.636
90.533;98.643
90.554;98.649
90.563;98.651
90.571;98.653
90.597;98.659
90.642;98.67
90.655;98.673
90.663;98.675
90.667;98.676
90.709;98.687
90.728;98.691
90.735;98.693
90.754;98.698
90.79;98.706
90.806;98.71
90.869;98.725
90.897;98.732
90.905;98.734
90.92;98.737
90.945;98.744
90.953;98.745
90.957;98.746
90.967;98.749
90.971;98.75
90.98;98.752
90.994;98.755
91.042;98.767
91.053;98.769
91.077;98.775
91.101;98.78
91.12;98.785
91.128;98.787
91.155;98.793
91.163;98.795
91.17;98.797
91.177;98.799
91.186;98.8
91.215;98.807
91.231;98.811
91.272;98.821
91.294;98.826
91.3;98.827
91.328;98.833
91.376;98.844
91.399;98.85
91.412;98.853
91.465;98.865
91.48;98.868
91.547;98.883
91.55;98.884
91.552;98.885
91.558;98.886
91.569;98.888
91.574;98.89
91.581;98.891
91.607;98.897
91.634;98.903
91.672;98.912
91.715;98.921
91.776;98.935
91.791;98.938
91.798;98.94
91.801;98.941
91.815;98.944
91.834;98.948
91.899;98.962
91.904;98.963
91.954;98.974
91.962;98.976
91.996;98.984
92.013;98.988
92.022;98.989
92.026;98.99
92.034;98.992
92.043;98.994
92.047;98.995
92.057;98.997
92.06;98.998
92.066;98.999
92.086;99.003
92.117;99.01
92.132;99.013
92.141;99.015
92.149;99.017
92.157;99.019
92.162;99.02
92.164;99.02
92.18;99.024
92.198;99.028
92.244;99.038
92.257;99.04
92.278;99.045
92.306;99.051
92.32;99.054
92.41;99.073
92.415;99.074
92.465;99.085
92.488;99.089
92.508;99.094
92.522;99.097
92.53;99.098
92.567;99.106
92.572;99.107
92.579;99.108
92.585;99.11
92.622;99.117
92.662;99.126
92.668;99.127
92.685;99.13
92.707;99.135
92.72;99.138
92.755;99.145
92.782;99.15
92.789;99.152
92.794;99.153
92.799;99.154
92.82;99.158
92.825;99.159
92.84;99.162
92.845;99.163
92.858;99.166
92.885;99.171
92.923;99.178
92.928;99.18
92.941;99.182
92.967;99.187
92.972;99.188
92.986;99.191
92.998;99.193
93.051;99.203
93.065;99.206
93.118;99.216
93.159;99.224
93.165;99.225
93.173;99.227
93.184;99.229
93.187;99.229
93.23;99.237
93.239;99.239
93.259;99.243
93.266;99.244
93.281;99.247
93.286;99.248
93.321;99.254
93.399;99.269
93.455;99.279
93.46;99.28
93.472;99.282
93.478;99.283
93.486;99.285
93.496;99.286
93.501;99.287
93.526;99.292
93.535;99.293
93.542;99.295
93.577;99.301
93.592;99.303
93.603;99.305
93.61;99.307
93.68;99.319
93.684;99.319
93.713;99.324
93.733;99.328
93.747;99.33
93.805;99.34
93.807;99.34
93.819;99.342
93.826;99.344
93.837;99.345
93.849;99.347
93.86;99.349
93.878;99.352
93.886;99.354
93.907;99.357
93.917;99.359
93.977;99.369
93.989;99.371
94.029;99.377
94.053;99.381
94.059;99.382
94.067;99.383
94.076;99.385
94.087;99.386
94.092;99.387
94.099;99.388
94.119;99.391
94.125;99.392
94.143;99.395
94.154;99.397
94.171;99.399
94.18;99.401
94.218;99.406
94.236;99.409
94.286;99.417
94.332;99.424
94.367;99.429
94.392;99.433
94.48;99.446
94.499;99.448
94.554;99.457
94.565;99.458
94.572;99.459
94.668;99.474
94.714;99.48
94.753;99.486
94.764;99.488
94.768;99.488
94.827;99.497
94.841;99.499
94.85;99.5
94.869;99.503
94.883;99.505
94.892;99.507
94.913;99.51
94.931;99.512
94.961;99.516
94.993;99.521
95.014;99.524
95.061;99.531
95.081;99.534
95.114;99.539
95.12;99.54
95.146;99.543
95.196;99.55
95.218;99.554
95.23;99.555
95.284;99.563
95.304;99.566
95.349;99.572
95.363;99.574
95.393;99.579
95.443;99.586
95.451;99.587
95.469;99.589
95.491;99.592
95.495;99.593
95.541;99.599
95.548;99.6
95.584;99.606
95.633;99.612
95.647;99.614
95.688;99.62
95.696;99.621
95.71;99.623
95.718;99.624
95.763;99.63
95.829;99.639
95.868;99.645
95.879;99.646
95.882;99.647
95.889;99.648
95.916;99.651
95.949;99.656
95.984;99.661
96.019;99.665
96.047;99.669
96.097;99.676
96.189;99.688
96.211;99.691
96.238;99.695
96.251;99.697
96.346;99.709
96.382;99.714
96.401;99.716
96.42;99.719
96.436;99.721
96.487;99.727
96.489;99.728
96.494;99.728
96.516;99.731
96.539;99.734
96.545;99.735
96.55;99.736
96.566;99.737
96.587;99.74
96.626;99.745
96.662;99.749
96.675;99.751
96.697;99.754
96.781;99.764
96.797;99.766
96.828;99.769
96.835;99.77
96.877;99.775
96.895;99.778
96.913;99.78
96.924;99.781
96.976;99.787
97.017;99.792
97.02;99.792
97.052;99.796
97.064;99.797
97.103;99.802
97.114;99.803
97.161;99.809
97.172;99.81
97.188;99.812
97.208;99.814
97.216;99.815
97.232;99.817
97.263;99.82
97.28;99.822
97.311;99.826
97.322;99.827
97.335;99.828
97.382;99.833
97.398;99.835
97.414;99.837
97.481;99.844
97.527;99.849
97.538;99.85
97.546;99.851
97.643;99.861
97.665;99.863
97.674;99.864
97.686;99.865
97.705;99.867
97.725;99.869
97.75;99.871
97.776;99.874
97.805;99.876
97.821;99.878
97.827;99.878
97.849;99.881
97.874;99.883
97.898;99.885
97.919;99.887
98.007;99.894
98.025;99.896
98.048;99.898
98.092;99.901
98.115;99.903
98.199;99.909
98.238;99.912
98.269;99.914
98.322;99.918
98.335;99.919
98.378;99.922
98.421;99.924
98.459;99.927
98.478;99.928
98.493;99.929
98.603;99.936
98.674;99.941
98.763;99.946
98.799;99.948
98.862;99.952
98.874;99.953
98.898;99.954
98.924;99.956
99.099;99.965
99.129;99.966
99.334;99.976
99.404;99.979
99.444;99.981
99.496;99.984
99.73;99.992
99.878;99.997
99.926;99.998
100;100
